,name,Top 100,end,change
436,Panic! At the Disco - Emperor's New Clothes,22,2k,-10%
437,Adam Wakefield - Love Has No Pride,3,5k,-70%
438,French Montana - Figure it Out,2,2k,-72%
439,Zac Brown Band - Chicken Fried,8,2k,-0%
440,AWOLNATION - Woman Woman,,2k,-6%
441,Demi Lovato - Heart Attack,,1k,
442,iLoveMemphis fka iHeartMemphis - Hit the Quan,78,2k,+3%
443,Meghan Trainor - Kindly Calm Me Down,,3k,
444,Dierks Bentley - What the Hell Did I Say,7,2k,+11%
445,Bruno Mars - Marry You,4,2k,+21%
446,KONGOS - Take It from Me,2,2k,+13%
447,Laith Al-Saadi - Make It Rain,3,2k,+26%
448,Francesca Battistelli - If We're Honest,,2k,+0%
449,Drake & Future - Big Rings,79,2k,-21%
450,Ty Dolla $ign - Saved,,2k,-33%
451,The Weeknd - In the Night,124,2k,-13%
452,Alex & Sierra - Little Do You Know,2,2k,-10%
453,Jeremih - Planez,,2k,+2%
454,Kygo - Oasis,,2k,
455,Carrie Underwood - Smoke Break,105,2k,-1%
456,Imagine Dragons - Not Today,,2k,-17%
457,Hillsong United - Oceans,33,2k,+0%
458,Christina Aguilera - Hurt,,3k,
459,Locash - I Love This Life,28,2k,-10%
460,JoJo Siwa - Boomerang,,,
461,Timeflies - Once in a While,,2k,-3%
462,Miley Cyrus - The Climb,,2k,+12%
463,Prince & The Revolution - Raspberry Beret,15,3k,-51%
464,Adele - Someone Like You,22,2k,-43%
465,Dierks Bentley - Drunk On a Plane,161,2k,+0%
466,Randy Newman - You've Got a Friend In Me,,1k,+63%
467,Jordan Feliz - The River,,2k,-4%
468,Ella Eyre - We Don't Have To Take Our Clothes Off,3,1k,
469,Evanescence - Bring Me to Life,8,2k,-3%
470,Bruno Mars - Just the Way You Are,16,2k,+21%
471,Katy Perry - Firework,10,2k,+12%
472,Halsey - Gasoline,,2k,-12%
473,ZAYN - LIKE I WOULD,16,2k,+9%
474,Sam Smith - Stay With Me,382,2k,+0%
475,Led Zeppelin - Stairway to Heaven,,2k,+1%
476,Young Thug - Best Friend,11,2k,-20%
477,Shaggy - It Wasn't Me,,2k,+1%
478,Macklemore & Ryan Lewis - Downtown,167,3k,+11%
479,R. City - Locked Away,174,2k,-4%
480,Eric Clapton - Stones in My Passway,,,
481,The Fray - How to Save a Life,,2k,+25%
482,Empire Cast - Hourglass,,,
483,"Jessie J, Ariana Grande & Nicki Minaj - Bang Bang",231,2k,-0%
484,Halsey - Colors,3,2k,-29%
485,BTS - 불타오르네 FIRE,3,2k,-37%
486,Panic! At the Disco - I Write Sins Not Tragedies,8,2k,-8%
487,Zac Brown Band - Homegrown,187,2k,-3%
488,Canaan Smith - Hole In a Bottle,,2k,-16%
489,Rae Sremmurd - Look Alive,2,2k,-5%
490,Meghan Trainor - I Won't Let You Down,,2k,
491,P!nk - Try,10,1k,+49%
492,A$AP Mob - Yamborghini High,,2k,+283%
493,Imagine Dragons - Demons,266,2k,-22%
494,Florida Georgia Line - This Is How We Roll,306,2k,-2%
495,Drake - Keep the Family Close,,2k,-52%
496,Louis Armstrong - What a Wonderful World,,2k,-6%
497,Fetty Wap - My Way,143,2k,-10%
498,Locash - I Know Somebody,,1k,+2%
499,Def Leppard - Pour Some Sugar On Me,,2k,-5%
500,Chris Stapleton - Traveller,15,2k,-11%
501,Casting Crowns - Just Be Held,,2k,-7%
502,Fun. - We Are Young,,1k,+64%
503,Guns N' Roses - Sweet Child O' Mine,,3k,-14%
504,Vance Joy - Fire and the Flood,1,2k,-15%
505,Gwen Stefani - Used to Love You,91,2k,-51%
506,Ty Dolla $ign - Wavy,,2k,-19%
507,Thrice - Black Honey,,1k,+60%
508,Running Man - Running Man Challenge,,,
509,Coldplay - A Sky Full of Stars,207,2k,-7%
510,Imagine Dragons - On Top of the World,169,2k,-1%
511,Hawk Nelson - Diamonds,,2k,+17%
512,Adam Wakefield - Tennessee Whiskey,,2k,+200%
513,ZHU x Skrillex x THEY. - Working for It,,2k,-10%
514,Charlie Puth - We Don't Talk Anymore,7,1k,+299%
515,Rihanna - Bitch Better Have My Money,165,2k,-13%
